,IVs,IV_count,rsquared,adj_rsquared
16222,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.826646474456464,0.8250413492199498
13769,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.8263359026376561,0.8250224766912182
15979,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",11,0.8266084405700265,0.8250029631678971
15698,"['1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",10,0.8264489129089092,0.8249892738248799
16304,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8267317033881876,0.8249800441132578
16300,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",12,0.8267280885438005,0.8249763927245297
16303,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8267261448357544,0.8249744293665286
14747,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",9,0.826278003471825,0.8249641396325362
15693,"['1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",10,0.8264040720108088,0.8249440557955927
16362,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.826686589610627,0.8249344742570698
14739,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.8262428461073987,0.8249287163720765
14744,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.8262418434941079,0.8249277061759961
16305,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",12,0.8266539993146178,0.8249015544888179
15462,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",10,0.826341334405621,0.8248807905402351
